"","x"
"1259","CG45049"
"1260","kcc"
"1261","subdued"
"1262","Glg1"
"1263","CG6191"
"1264","Eip63E"
"1265","heph"
"1266","heph"
"1267","heph"
"1268","Rpt5"
"1269","wun"
"1270","CCT5"
"1271","Tapdelta"
"1272","Nmt"
"1273","eIF3h"
"1274","Coprox"
"1275","Nup154"
"1276","capt"
"1277","Uch-L5"
"1278","GlyP"
"1279","eEF1beta"
"1280","mmy"
"1281","Ref1"
"1282","Uch"
"1283","LManII"
"1284","Dic1"
"1285","CG8230"
"1286","hoe1"
"1287","Vps4"
"1288","Vps4"
"1289","Rh50"
"1290","cindr"
"1291","Sema1b"
"1292","Ppcs"
"1293","Vha26"
"1294","CG7985"
"1295","Appl"
"1296","Mitofilin"
"1297","GCS2alpha"
"1298","Fkbp14"
"1299","CG4928"
"1300","wdb"
"1301","CG11070"
"1302","CysRS"
"1303","botv"
"1304","Vha100-1"
"1305","peng"
"1306","CG3909"
"1307","for"
"1308","snama"
"1309","Dp1"
"1310","Rpn1"
"1311","Vha100-2"
"1312","CG7115"
"1313","CG10254"
"1314","Patj"
"1315","aub"
"1316","Hrd3"
"1317","Non1"
"1318","CG4757"
"1319","CG7601"
"1320","eIF2alpha"
"1321","PCB"
"1322","AsnRS"
"1323","mino"
"1324","Cadps"
"1325","caps"
"1326","Mtr4"
"1327","Sap-r"
"1328","CG3149"
"1329","phtf"
"1330","CG18659"
"1331","betaCOP"
"1332","wal"
"1333","mbf1"
"1334","CG8042"
"1335","norpA"
"1336","NELF-B"
"1337","CG6495"
"1338","nito"
"1339","GlnRS"
"1340","Pfk"
"1341","CG17841"
"1342","Mtpalpha"
"1343","epsilonCOP"
"1344","out"
"1345","Dbp73D"
"1346","CG6983"
"1347","Prosalpha2"
"1348","CG3436"
"1349","Rac2"
"1350","bug"
"1351","RpL13A"
"1352","Ran"
"1353","Pex10"
"1354","Cyt-c1"
"1355","Jafrac1"
"1356","Pfdn5"
"1357","wupA"
"1358","wupA"
"1359","wupA"
"1360","Cdc42"
"1361","Cchl"
"1362","GstS1"
"1363","Mob4"
"1364","mRpL16"
"1365","CG1750"
"1366","His2Av"
"1367","Nap1"
"1368","Rala"
"1369","CG11583"
"1370","CG9393"
"1371","CG5854"
"1372","Taldo"
"1373","Set"
"1374","SdhB"
"1375","eIF3m"
"1376","Tom40"
"1377","AdipoR"
"1378","CG10932"
"1379","ben"
"1380","CG4882"
"1381","fbl"
"1382","Prosbeta7"
"1383","Sgt"
"1384","Arf79F"
"1385","Sod2"
"1386","CG15012"
"1387","Gclm"
"1388","Ptpa"
"1389","Sptr"
"1390","CG18815"
"1391","nSyb"
"1392","CG14997"
"1393","rtp"
"1394","CHOp24"
"1395","mRpS30"
"1396","qkr58E-1"
"1397","CG15093"
"1398","CG13920"
"1399","RpII33"
"1400","CG6218"
"1401","nmd"
"1402","Der-1"
"1403","kraken"
"1404","wol"
"1405","Wdr82"
"1406","Mpc1"
"1407","CG5045"
"1408","DNaseII"
"1409","Rab18"
"1410","DAT"
"1411","7B2"
"1412","CG7506"
"1413","CG9804"
"1414","GXIVsPLA2"
"1415","Syx16"
"1416","Rheb"
"1417","Jupiter"
"1418","sel"
"1419","gammaSnap1"
"1420","CG10252"
"1421","CG5339"
"1422","Trs31"
"1423","CG3663"
"1424","Ufd1-like"
"1425","ATPsynF"
"1426","CG5862"
"1427","PGRP-LB"
"1428","CG6028"
"1429","ND-15"
"1430","Jafrac2"
"1431","Vps29"
"1432","Chmp1"
"1433","CG7675"
"1434","Atg3"
"1435","ND-30"
"1436","AnxB10"
"1437","AnxB10"
"1438","tzn"
"1439","GstO2"
"1440","CG8237"
"1441","CG7168"
"1442","Ufc1"
"1443","P32"
"1444","Arl5"
"1445","ND-20"
"1446","TSG101"
"1447","RpS9"
"1448","CG42375"
"1449","Prosalpha5"
"1450","mRpL4"
"1451","Torsin"
"1452","mRpL19"
"1453","Tom20"
"1454","CG1532"
"1455","Dlc90F"
"1456","CG14207"
"1457","MCTS1"
"1458","CG11035"
"1459","CG6523"
"1460","RfC4"
"1461","TFAM"
"1462","PQBP1"
"1463","Rae1"
"1464","Spase25"
"1465","snf"
"1466","Prx5"
"1467","CG1307"
"1468","Sras"
"1469","CG1236"
"1470","GstZ1"
"1471","CG12321"
"1472","CG8031"
"1473","ppl"
"1474","mge"
"1475","CG11095"
"1476","CG13887"
"1477","Oscillin"
"1478","EMC8-9"
"1479","EMC8-9"
